"","AT3G18990","AT5G10140"
"GSM271058.CEL",8.21011777332677,4.89817666957775
"GSM271059.CEL",8.14432912365008,5.0171384043091
"GSM271060.CEL",8.38503184808476,4.51635517018778
"GSM271065.CEL",8.26188232139703,5.09892690517561
"GSM271066.CEL",8.06994039259818,4.66905898833839
"GSM271071.CEL",8.40918892902734,5.05394115140684
"GSM271072.CEL",8.33676150315746,5.23991980668025
"GSM271073.CEL",8.27519924495172,4.72999360646163
"GSM271074.CEL",8.26760589834059,4.43741250541652
"GSM271079.CEL",8.19849565145591,4.49336100970876
"GSM271080.CEL",8.23923128275858,4.81498952626298
"GSM271082.CEL",8.14798492240057,4.92924635223433
"GSM270814.CEL",7.70146588804425,5.47005893224044
"GSM270853.CEL",7.76797424002151,5.24128848362477
"GSM270865.CEL",7.87336280839183,5.26664663562906
"GSM270866.CEL",7.71161429792072,5.32347591651771
"GSM270868.CEL",7.36404075028961,5.04973398375563
"GSM270870.CEL",7.14549282125279,4.83816664748989
"GSM272107.CEL",7.5829461617133,4.93526631650382
"GSM272108.CEL",7.38885501842023,5.05631165834147
"GSM272109.CEL",8.06945736064037,5.00429760896709
"GSM272110.CEL",8.00757923334962,5.19431723602825
"GSM272111.CEL",7.68200590745595,5.04950529567419
"GSM272112.CEL",7.6015329635955,4.85786755702847
"GSM272985.CEL",7.22606564684348,5.27550740182872
"GSM272986.CEL",7.12459767862044,5.41198455785784
"GSM272987.CEL",7.19632659135056,4.87988954575522
"GSM272988.CEL",7.2653500125836,5.14771791358616
"GSM272989.CEL",7.30035130220164,4.8739407530271
"GSM272990.CEL",7.23498256890197,5.30131025638879
"GSM272991.CEL",7.11763688454778,4.7430992691922
"GSM272992.CEL",7.08178735511133,5.41060890754035
"GSM275637.CEL",7.85122529424012,4.9179524025951
"GSM275638.CEL",7.66347599813441,4.44047857609496
"GSM275639.CEL",7.69235703528694,4.71680636606712
"GSM275641.CEL",7.89148998969896,4.52960560205642
"GSM275642.CEL",7.71757430935497,4.75335230805123
"GSM275643.CEL",7.61306952458702,4.52540955382339
"GSM277232.CEL",7.75064382313734,10.4052317304201
"GSM277233.CEL",7.64798487348612,10.363477486059
"GSM277234.CEL",7.43183202235872,4.19104578208978
"GSM277235.CEL",7.35207302239198,4.44922179512362
"GSM282693.CEL",9.28861921048903,8.94272706602563
"GSM282694.CEL",8.66374261882621,8.55311467077289
"GSM282695.CEL",9.07871131028411,8.73885172502249
"GSM282696.CEL",9.03788579575398,8.54445683300434
"GSM282697.CEL",9.10083991760871,8.53419902458842
"GSM282698.CEL",9.03814393330043,8.35348305262592
"GSM282699.CEL",9.07758482820863,8.38919704081048
"GSM282700.CEL",9.20993825205652,8.0168332157372
"GSM282701.CEL",9.12303892885996,7.81628589188716
"GSM282702.CEL",9.14793394146078,8.25087638927415
"GSM282703.CEL",9.09917224379064,8.85150711697993
"GSM284051.CEL",7.81280267028143,4.93725387669303
"GSM284052.CEL",7.71686238196697,5.00848948506884
"GSM284053.CEL",7.84262211908479,4.84573289675869
"GSM284054.CEL",7.64185859923377,5.38691266856952
"GSM284384.CEL",8.82106466609234,6.53941863490338
"GSM284385.CEL",9.15153867536721,6.73409870947364
"GSM284386.CEL",8.49862822967761,6.1163220332676
"GSM284387.CEL",8.74770593019184,5.49248579565021
"GSM284388.CEL",8.03098020518185,5.43037971761996
"GSM284389.CEL",7.50756338251555,5.77489595491591
"GSM284390.CEL",8.01058565833612,5.78803258911571
"GSM284391.CEL",7.03069869147315,4.76238396409153
"GSM284392.CEL",6.17060088732902,5.16431776739868
"GSM284393.CEL",6.87191683498076,5.80026931170854
"GSM284394.CEL",6.44709584593136,4.62936294534207
"GSM284395.CEL",9.29227533574829,5.42733182612049
"GSM284396.CEL",8.46380603330816,5.66108795105491
"GSM284397.CEL",9.09799558611732,5.60523249053786
"GSM284398.CEL",9.11097589305989,4.94081406062384
"GSM499416.CEL",9.13085726492771,5.55319103153735
"GSM499417.CEL",8.85263099698065,5.19574097069301
"GSM289637.CEL",8.09848908925169,4.71343742935818
"GSM289638.CEL",8.21250112335091,4.77829725167018
"GSM289639.CEL",8.10325692850116,4.76597814151634
"GSM289640.CEL",7.96309992346451,4.81961338152344
"GSM289641.CEL",8.16334437150575,4.47786958942145
"GSM289642.CEL",8.20532539148915,4.36647593920426
"GSM290557.CEL",8.80262031719324,6.90429807285094
"GSM290558.CEL",8.84870783913755,6.56533464206006
"GSM290559.CEL",8.72586889208091,6.23829537068832
"GSM290560.CEL",8.76936917153077,5.59829311092501
"GSM290561.CEL",8.79499265220638,7.73402521764762
"GSM290562.CEL",8.8505304967288,7.56984958972977
"GSM290625.CEL",7.83034022877309,5.92122623097314
"GSM290626.CEL",7.74679074613702,6.32454476881398
"GSM290627.CEL",7.84208450106036,6.76400955895121
"GSM290628.CEL",8.36046929336127,6.74454210793322
"GSM290629.CEL",8.49952273317259,7.24868483891661
"GSM290630.CEL",8.59006958294313,7.79824064598635
"GSM290753.CEL",8.68621040658482,4.97644349305731
"GSM290755.CEL",8.83625621210359,4.80317828992151
"GSM290756.CEL",8.70525593476132,4.61911630019071
"GSM290757.CEL",8.40581372387256,4.67149935504428
"GSM290758.CEL",9.31027161572572,5.03745545050345
"GSM290759.CEL",8.46861966237696,5.6256489168513
"GSM290760.CEL",8.98658726140171,4.58468706804346
"GSM290761.CEL",8.75267243076906,4.76630514215313
"GSM290762.CEL",8.76197240581937,4.61719901393649
"GSM290825.CEL",8.32948219258815,4.80755595165011
"GSM290827.CEL",8.59507229912096,5.13227734773951
"GSM290828.CEL",8.6845901671331,5.19479908487573
"GSM291019.CEL",8.71544641476732,4.75316188449487
"GSM291020.CEL",8.46923803191289,5.30618362460065
"GSM291021.CEL",8.57855761364002,4.59373121317068
"GSM291023.CEL",8.82619186992664,4.60720679813637
"GSM291024.CEL",9.19381943034933,5.74698884966975
"GSM291098.CEL",8.64396623045421,5.37101161883749
"GSM291099.CEL",8.71288750840477,4.75897318400535
"GSM291101.CEL",8.29024033094948,4.69747273288688
"GSM291108.CEL",8.64467106859045,4.8610087026262
"GSM291112.CEL",8.55807742342356,4.58393557616981
"GSM291113.CEL",8.37375188435498,4.91537506835469
"GSM291114.CEL",8.87634980914943,4.43505681808061
"GSM291118.CEL",8.65831224972359,5.25000167599517
"GSM291119.CEL",9.17990929162968,5.01319426419979
"GSM291124.CEL",8.82157620975857,5.46984652555792
"GSM291128.CEL",8.61905091623264,5.02480709652745
"GSM292076.CEL",8.71186274184731,9.88834675235074
"GSM292077.CEL",8.44848935462488,10.1227558669855
"GSM292078.CEL",8.51662945006148,9.89270317062787
"GSM292079.CEL",8.83167551219453,9.93451560109962
"GSM292080.CEL",8.57435089293634,9.73261087380092
"GSM292081.CEL",8.35505555702206,9.86606764935631
"GSM297379.CEL",7.54353773978155,5.71422634429759
"GSM297380.CEL",7.96389136876114,5.1950445730721
"GSM297381.CEL",7.90718351460822,5.8373105283651
"GSM297382.CEL",7.08132214140886,5.08945090907467
"GSM297383.CEL",7.15832857219443,5.19872848551439
"GSM297384.CEL",7.76398946907053,5.29229227503201
"GSM297385.CEL",7.90809137476884,5.22659878910668
"GSM297386.CEL",7.86818991035418,5.58313245184159
"GSM297387.CEL",7.13741060564366,5.83797000970195
"GSM297388.CEL",7.02536610554023,5.39443906682708
"GSM297389.CEL",7.8178264243877,6.01480294848339
"GSM297390.CEL",7.98234973508632,6.46389921888452
"GSM297391.CEL",8.04711326838003,5.90129920773294
"GSM297392.CEL",7.30528607398639,6.0005429303877
"GSM297393.CEL",7.16261454151409,6.18911655810459
"GSM297394.CEL",7.9328839296832,5.7762607204886
"GSM297395.CEL",8.11606041552395,5.53331387807168
"GSM297396.CEL",8.10317018244275,5.94680267785146
"GSM297397.CEL",7.18037035570653,5.82978631284173
"GSM297398.CEL",7.39522237936345,5.62077856235405
"GSM297822.CEL",7.70915093225958,7.29749930781554
"GSM297823.CEL",7.54046605466187,7.75128281708975
"GSM297824.CEL",7.29193087940324,7.18193551714791
"GSM297825.CEL",7.16763355910486,6.51739380796413
"GSM297826.CEL",7.0157088576439,6.29647355556336
"GSM297827.CEL",6.81630360074848,7.26974986362051
"GSM297828.CEL",7.366980286874,7.3000769180983
"GSM297829.CEL",7.54281641512404,7.721571748907
"GSM297830.CEL",7.05253986281094,7.49043554405003
"GSM297831.CEL",6.59458160103698,5.96575547593229
"GSM297832.CEL",7.09017049984435,7.09512879189474
"GSM297833.CEL",7.2053144682828,6.4322012382701
"GSM297834.CEL",7.55910956368922,8.48198847294942
"GSM297835.CEL",7.63322338358636,8.04495741946343
"GSM297836.CEL",6.79824852698124,5.54771220714593
"GSM297837.CEL",6.72672454666404,6.74398846890335
"GSM297838.CEL",6.61529465794826,6.82902175812525
"GSM297839.CEL",7.04568487995334,7.27169146523878
"GSM297840.CEL",7.31170250692813,7.21536061426192
"GSM297841.CEL",7.19415638091542,6.68891498459016
"GSM297842.CEL",7.2543249018822,6.27330298123499
"GSM297843.CEL",7.25784656715072,7.2282570044761
"GSM297894.CEL",7.75268142771684,9.19453148578661
"GSM297895.CEL",8.09519059614962,9.78452228650347
"GSM297896.CEL",8.05029948835112,9.38020552391361
"GSM297897.CEL",8.37204887785837,8.81423138877614
"GSM298415.CEL",7.88568747944757,5.4543630227867
"GSM298418.CEL",7.75164900908799,5.00158311872746
"GSM298420.CEL",7.1510915069833,5.87448883520316
"GSM298424.CEL",7.78923364321732,5.22812086394573
"GSM298425.CEL",7.55398530581088,5.17777801046763
"GSM298427.CEL",7.69853097377292,6.48507814594323
"GSM298428.CEL",7.68501961659349,6.32904386222801
"GSM298429.CEL",7.11133000657362,5.18192287839613
"GSM298470.CEL",7.65836721949468,6.02522733282123
"GSM298471.CEL",7.38805397834976,6.33312076656097
"GSM298472.CEL",7.3186955786658,6.54453023963417
"GSM298473.CEL",7.54612244077202,6.40644070024846
"GSM298474.CEL",7.49389938451123,5.07987565068415
"GSM298475.CEL",7.34186593252284,6.30572023816331
"GSM298476.CEL",7.55932374479494,6.14197135369604
"GSM298479.CEL",7.45115011043272,6.15656651716291
"GSM298481.CEL",7.47860790939347,6.19232857029295
"GSM298482.CEL",7.69762961091653,6.21784191237345
"GSM298486.CEL",7.77042231052505,5.57252603879265
"GSM298488.CEL",7.92835536838733,5.65100783958562
"GSM298490.CEL",7.47580747543389,5.6061711940749
"GSM298493.CEL",7.8634655508855,4.94323177535425
"GSM298495.CEL",7.56316687540041,5.6446598083884
"GSM298498.CEL",7.36848573403094,6.52532255783848
"GSM299321.CEL",8.25034198567662,6.90040283388352
"GSM299322.CEL",8.30201785012889,6.62745291597363
"GSM299323.CEL",7.90566912671133,6.81393539193282
"GSM299324.CEL",8.04851275458981,6.70324002508356
"GSM299325.CEL",7.72995360998622,6.75217602846308
"GSM299326.CEL",8.09349692234912,7.03967042792149
"GSM299327.CEL",8.07140116552888,5.7731893825906
"GSM299328.CEL",8.21504230762134,5.86413517707845
"GSM299329.CEL",8.15580663382624,5.91542477673706
"GSM299330.CEL",8.2405765667775,5.8722842536807
"GSM299331.CEL",8.23259487208645,5.86211781148653
"GSM299332.CEL",8.14469580890974,6.05582614231807
"GSM299333.CEL",8.20214558062307,6.85458451648709
"GSM299334.CEL",8.21867520996591,7.14427290378933
"GSM299335.CEL",8.20803659364502,6.83725651155507
"GSM299336.CEL",7.9968329468567,7.1605426568121
"GSM299337.CEL",8.21646604919714,6.92070513724039
"GSM299338.CEL",8.46548585226014,7.08589471339846
"GSM299339.CEL",8.38795135664335,6.09297904413513
"GSM299340.CEL",7.7152690573417,6.27997598393654
"GSM299341.CEL",7.97597514045077,6.28520336507096
"GSM299408.CEL",8.08725479993731,6.2837923585523
"GSM299409.CEL",8.16449654223012,6.22781941112148
"GSM299410.CEL",8.31112533894504,6.03321525019978
"GSM304028.CEL",8.1420596484939,4.70987911765444
"GSM304029.CEL",8.05346085651212,4.72378849391011
"GSM304031.CEL",8.07194272174814,5.01865801562853
"GSM304032.CEL",8.00986336070852,4.89983657461991
"GSM305281.CEL",8.59303231893985,6.19659757673203
"GSM305282.CEL",9.56215610321897,9.77780149377248
"GSM305283.CEL",8.28311260472896,6.46753573449314
"GSM305284.CEL",9.36502744932564,9.28852636220782
"GSM311266.CEL",8.3528557684786,6.75629321922766
"GSM311267.CEL",8.17965471012973,6.91636256758182
"GSM311268.CEL",7.76767039825933,6.84765024177584
"GSM311269.CEL",8.85168459573266,7.04944216182633
"GSM311270.CEL",8.95892422324548,6.93120190492132
"GSM311271.CEL",9.10170779709102,7.17443631719214
"GSM311287.CEL",8.42410038550052,6.39386379312855
"GSM311288.CEL",8.62374999901204,6.50519610840774
"GSM311289.CEL",8.40912338684188,7.47102222796792
"GSM311290.CEL",8.44757545924628,6.66725528607958
"GSM311291.CEL",8.03266734523499,4.63924824324831
"GSM311292.CEL",7.89820054436379,4.83712938646017
"GSM311293.CEL",8.48260532751036,5.42212849570758
"GSM311294.CEL",8.99075203539274,5.79073229244522
"GSM311295.CEL",7.96690333610779,5.54983959425668
"GSM311296.CEL",8.35287971928082,5.11746000953297
"GSM499418.CEL",8.8915306547978,6.13047715822479
"GSM499419.CEL",8.75177024933275,5.66996153929345
"GSM499420.CEL",8.68029830391128,8.08298314601535
"GSM499421.CEL",9.15786337337541,8.71430808248488
"GSM311273.CEL",7.97614897833197,5.87761957072187
"GSM311274.CEL",8.43976070392959,5.69996156653336
"GSM311275.CEL",7.42704386134024,6.19456124920099
"GSM311276.CEL",8.09117335067045,5.4246149234878
"GSM311277.CEL",8.00579755004815,5.79740862273099
"GSM311278.CEL",7.58563433450858,4.76738910412998
"GSM311279.CEL",5.69713504250923,5.81122425546308
"GSM311280.CEL",4.68743914346423,4.91394347507632
"GSM311281.CEL",8.42298454111434,4.77522577402524
"GSM311282.CEL",8.11399691204802,4.81714465512372
"GSM311283.CEL",8.8886574371117,5.2747095073708
"GSM311284.CEL",9.13334018389022,4.8484628747061
"GSM311285.CEL",8.70304553003151,5.07554061603632
"GSM311286.CEL",9.34054675100825,5.17341363154248
"GSM378645.CEL",8.43642305106022,7.06092475503291
"GSM378646.CEL",8.7273600206645,5.63314688672465
"GSM378647.CEL",8.32152508154034,5.5940251194726
"GSM378648.CEL",8.94587349078039,5.30723129110146
"GSM378649.CEL",8.6647816096277,5.16012200186316
"GSM378650.CEL",7.99591597094972,5.40047731752619
"GSM378651.CEL",4.80316148452247,5.57476917841357
"GSM378652.CEL",6.41188852868306,5.83149541278164
"GSM378653.CEL",6.91614405860598,5.98055171146131
"GSM378654.CEL",8.61131884502877,5.13462550380374
"GSM378655.CEL",8.97466714226945,5.83076931068271
"GSM378656.CEL",9.18737453637569,5.19343056238943
"GSM378657.CEL",9.06764387017441,5.1565094235996
"GSM378658.CEL",8.62730070336836,5.2094424828557
"GSM378659.CEL",8.75798195403532,4.46093903648269
"GSM378660.CEL",7.96058881358281,4.91064491920555
"GSM378733.CEL",8.93637098031023,7.53666471185659
"GSM378734.CEL",8.43623806088884,7.07289599350388
"GSM378735.CEL",8.9714335426433,7.60385681546907
"GSM378736.CEL",9.31512646485683,8.03660863305682
"GSM378737.CEL",9.1228333258557,7.77152020543366
"GSM378738.CEL",9.14914137315639,7.89008661114752
"GSM378739.CEL",9.05638105984127,5.75426474916246
"GSM378740.CEL",8.67476022193638,5.58179082724988
